index,pokedex_number,name,generation,status,fully_evolved,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,growth_rate,egg_type_number,egg_type_1,egg_type_2
34,26,Raichu,1,Normal,1,Mouse Pokémon,1,Electric,,0.8,30,2,Static,,Lightning Rod,485,60,90,55,90,80,110,Medium Fast,2,Fairy,Field
35,26,Alolan Raichu,1,Normal,1,Mouse Pokémon,2,Electric,Psychic,0.7,21,1,Surge Surfer,,,485,60,85,50,95,85,110,Medium Fast,2,Fairy,Field
36,27,Sandshrew,1,Normal,0,Mouse Pokémon,1,Ground,,0.6,12,2,Sand Veil,,Sand Rush,300,50,75,85,20,30,40,Medium Fast,1,Field,
37,27,Alolan Sandshrew,1,Normal,0,Mouse Pokémon,2,Ice,Steel,0.7,40,2,Snow Cloak,,Slush Rush,300,50,75,90,10,35,40,Medium Fast,1,Field,
38,28,Sandslash,1,Normal,1,Mouse Pokémon,1,Ground,,1,29.5,2,Sand Veil,,Sand Rush,450,75,100,110,45,55,65,Medium Fast,1,Field,
39,28,Alolan Sandslash,1,Normal,1,Mouse Pokémon,2,Ice,Steel,1.2,55,2,Snow Cloak,,Slush Rush,450,75,100,120,25,65,65,Medium Fast,1,Field,
40,29,Nidoran♀,1,Normal,0,Poison Pin Pokémon,1,Poison,,0.4,7,3,Poison Point,Rivalry,Hustle,275,55,47,52,40,40,41,Medium Slow,2,Field,Monster
41,30,Nidorina,1,Normal,0,Poison Pin Pokémon,1,Poison,,0.8,20,3,Poison Point,Rivalry,Hustle,365,70,62,67,55,55,56,Medium Slow,1,Undiscovered,
42,31,Nidoqueen,1,Normal,1,Drill Pokémon,2,Poison,Ground,1.3,60,3,Poison Point,Rivalry,Sheer Force,505,90,92,87,75,85,76,Medium Slow,1,Undiscovered,
43,32,Nidoran♂,1,Normal,0,Poison Pin Pokémon,1,Poison,,0.5,9,3,Poison Point,Rivalry,Hustle,273,46,57,40,40,40,50,Medium Slow,2,Field,Monster
44,33,Nidorino,1,Normal,0,Poison Pin Pokémon,1,Poison,,0.9,19.5,3,Poison Point,Rivalry,Hustle,365,61,72,57,55,55,65,Medium Slow,2,Field,Monster
45,34,Nidoking,1,Normal,1,Drill Pokémon,2,Poison,Ground,1.4,62,3,Poison Point,Rivalry,Sheer Force,505,81,102,77,85,75,85,Medium Slow,2,Field,Monster
46,35,Clefairy,1,Normal,0,Fairy Pokémon,1,Fairy,,0.6,7.5,3,Cute Charm,Magic Guard,Friend Guard,323,70,45,48,60,65,35,Fast,1,Fairy,
47,36,Clefable,1,Normal,1,Fairy Pokémon,1,Fairy,,1.3,40,3,Cute Charm,Magic Guard,Unaware,483,95,70,73,95,90,60,Fast,1,Fairy,
48,37,Vulpix,1,Normal,0,Fox Pokémon,1,Fire,,0.6,9.9,2,Flash Fire,,Drought,299,38,41,40,50,65,65,Medium Fast,1,Field,
49,37,Alolan Vulpix,1,Normal,0,Fox Pokémon,1,Ice,,0.6,9.9,2,Snow Cloak,,Snow Warning,299,38,41,40,50,65,65,Medium Fast,1,Field,
50,38,Ninetales,1,Normal,1,Fox Pokémon,1,Fire,,1.1,19.9,2,Flash Fire,,Drought,505,73,76,75,81,100,100,Medium Fast,1,Field,
51,38,Alolan Ninetales,1,Normal,1,Fox Pokémon,2,Ice,Fairy,1.1,19.9,2,Snow Cloak,,Snow Warning,505,73,67,75,81,100,109,Medium Fast,1,Field,
52,39,Jigglypuff,1,Normal,0,Balloon Pokémon,2,Normal,Fairy,0.5,5.5,3,Cute Charm,Competitive,Friend Guard,270,115,45,20,45,25,20,Fast,1,Fairy,
53,40,Wigglytuff,1,Normal,1,Balloon Pokémon,2,Normal,Fairy,1,12,3,Cute Charm,Competitive,Frisk,435,140,70,45,85,50,45,Fast,1,Fairy,
54,41,Zubat,1,Normal,0,Bat Pokémon,2,Poison,Flying,0.8,7.5,2,Inner Focus,,Infiltrator,245,40,45,35,30,40,55,Medium Fast,1,Flying,
55,42,Golbat,1,Normal,0,Bat Pokémon,2,Poison,Flying,1.6,55,2,Inner Focus,,Infiltrator,455,75,80,70,65,75,90,Medium Fast,1,Flying,
56,43,Oddish,1,Normal,0,Weed Pokémon,2,Grass,Poison,0.5,5.4,2,Chlorophyll,,Run Away,320,45,50,55,75,65,30,Medium Slow,1,Grass,
57,44,Gloom,1,Normal,0,Weed Pokémon,2,Grass,Poison,0.8,8.6,2,Chlorophyll,,Stench,395,60,65,70,85,75,40,Medium Slow,1,Grass,
58,45,Vileplume,1,Normal,1,Flower Pokémon,2,Grass,Poison,1.2,18.6,2,Chlorophyll,,Effect Spore,490,75,80,85,110,90,50,Medium Slow,1,Grass,
59,46,Paras,1,Normal,0,Mushroom Pokémon,2,Bug,Grass,0.3,5.4,3,Effect Spore,Dry Skin,Damp,285,35,70,55,45,55,25,Medium Fast,2,Bug,Grass
60,47,Parasect,1,Normal,1,Mushroom Pokémon,2,Bug,Grass,1,29.5,3,Effect Spore,Dry Skin,Damp,405,60,95,80,60,80,30,Medium Fast,2,Bug,Grass
61,48,Venonat,1,Normal,0,Insect Pokémon,2,Bug,Poison,1,30,3,Compound Eyes,Tinted Lens,Run Away,305,60,55,50,40,55,45,Medium Fast,1,Bug,
62,49,Venomoth,1,Normal,1,Poison Moth Pokémon,2,Bug,Poison,1.5,12.5,3,Shield Dust,Tinted Lens,Wonder Skin,450,70,65,60,90,75,90,Medium Fast,1,Bug,
63,50,Diglett,1,Normal,0,Mole Pokémon,1,Ground,,0.2,0.8,3,Sand Veil,Arena Trap,Sand Force,265,10,55,25,35,45,95,Medium Fast,1,Field,
64,50,Alolan Diglett,1,Normal,0,Mole Pokémon,2,Ground,Steel,0.2,1,3,Sand Veil,Tangling Hair,Sand Force,265,10,55,30,35,45,90,Medium Fast,1,Field,
65,51,Dugtrio,1,Normal,1,Mole Pokémon,1,Ground,,0.7,33.3,3,Sand Veil,Arena Trap,Sand Force,425,35,100,50,50,70,120,Medium Fast,1,Field,
66,51,Alolan Dugtrio,1,Normal,1,Mole Pokémon,2,Ground,Steel,0.7,66.6,3,Sand Veil,Tangling Hair,Sand Force,425,35,100,60,50,70,110,Medium Fast,1,Field,
67,52,Meowth,1,Normal,0,Scratch Cat Pokémon,1,Normal,,0.4,4.2,3,Pickup,Technician,Unnerve,290,40,45,35,40,40,90,Medium Fast,1,Field,
68,52,Alolan Meowth,1,Normal,0,Scratch Cat Pokémon,1,Dark,,0.4,4.2,3,Pickup,Technician,Rattled,290,40,35,35,50,40,90,Medium Fast,1,Field,
69,52,Galarian Meowth,1,Normal,0,Scratch Cat Pokémon,1,Steel,,0.4,7.5,3,Pickup,Tough Claws,Unnerve,290,50,65,55,40,40,40,Medium Fast,1,Field,
70,53,Persian,1,Normal,1,Classy Cat Pokémon,1,Normal,,1,32,3,Limber,Technician,Unnerve,440,65,70,60,65,65,115,Medium Fast,1,Field,
71,53,Alolan Persian,1,Normal,1,Classy Cat Pokémon,1,Dark,,1.1,33,3,Fur Coat,Technician,Rattled,440,65,60,60,75,65,115,Medium Fast,1,Field,
72,54,Psyduck,1,Normal,0,Duck Pokémon,1,Water,,0.8,19.6,3,Damp,Cloud Nine,Swift Swim,320,50,52,48,65,50,55,Medium Fast,2,Field,Water 1
73,55,Golduck,1,Normal,1,Duck Pokémon,1,Water,,1.7,76.6,3,Damp,Cloud Nine,Swift Swim,500,80,82,78,95,80,85,Medium Fast,2,Field,Water 1
74,56,Mankey,1,Normal,0,Pig Monkey Pokémon,1,Fighting,,0.5,28,3,Vital Spirit,Anger Point,Defiant,305,40,80,35,35,45,70,Medium Fast,1,Field,
75,57,Primeape,1,Normal,1,Pig Monkey Pokémon,1,Fighting,,1,32,3,Vital Spirit,Anger Point,Defiant,455,65,105,60,60,70,95,Medium Fast,1,Field,
76,58,Growlithe,1,Normal,0,Puppy Pokémon,1,Fire,,0.7,19,3,Intimidate,Flash Fire,Justified,350,55,70,45,70,50,60,Slow,1,Field,
77,59,Arcanine,1,Normal,1,Legendary Pokémon,1,Fire,,1.9,155,3,Intimidate,Flash Fire,Justified,555,90,110,80,100,80,95,Slow,1,Field,
78,60,Poliwag,1,Normal,0,Tadpole Pokémon,1,Water,,0.6,12.4,3,Water Absorb,Damp,Swift Swim,300,40,50,40,40,40,90,Medium Slow,1,Water 1,
79,61,Poliwhirl,1,Normal,0,Tadpole Pokémon,1,Water,,1,20,3,Water Absorb,Damp,Swift Swim,385,65,65,65,50,50,90,Medium Slow,1,Water 1,
80,62,Poliwrath,1,Normal,1,Tadpole Pokémon,2,Water,Fighting,1.3,54,3,Water Absorb,Damp,Swift Swim,510,90,95,95,70,90,70,Medium Slow,1,Water 1,
81,63,Abra,1,Normal,0,Psi Pokémon,1,Psychic,,0.9,19.5,3,Synchronize,Inner Focus,Magic Guard,310,25,20,15,105,55,90,Medium Slow,1,Human-Like,
82,64,Kadabra,1,Normal,0,Psi Pokémon,1,Psychic,,1.3,56.5,3,Synchronize,Inner Focus,Magic Guard,400,40,35,30,120,70,105,Medium Slow,1,Human-Like,
83,65,Alakazam,1,Normal,1,Psi Pokémon,1,Psychic,,1.5,48,3,Synchronize,Inner Focus,Magic Guard,500,55,50,45,135,95,120,Medium Slow,1,Human-Like,
84,65,Mega Alakazam,1,Normal,1,Psi Pokémon,1,Psychic,,1.2,48,1,Trace,,,600,55,50,65,175,105,150,Medium Slow,1,Human-Like,
85,66,Machop,1,Normal,0,Superpower Pokémon,1,Fighting,,0.8,19.5,3,Guts,No Guard,Steadfast,305,70,80,50,35,35,35,Medium Slow,1,Human-Like,
86,67,Machoke,1,Normal,0,Superpower Pokémon,1,Fighting,,1.5,70.5,3,Guts,No Guard,Steadfast,405,80,100,70,50,60,45,Medium Slow,1,Human-Like,
87,68,Machamp,1,Normal,1,Superpower Pokémon,1,Fighting,,1.6,130,3,Guts,No Guard,Steadfast,505,90,130,80,65,85,55,Medium Slow,1,Human-Like,
88,69,Bellsprout,1,Normal,0,Flower Pokémon,2,Grass,Poison,0.7,4,2,Chlorophyll,,Gluttony,300,50,75,35,70,30,40,Medium Slow,1,Grass,
89,70,Weepinbell,1,Normal,0,Flycatcher Pokémon,2,Grass,Poison,1,6.4,2,Chlorophyll,,Gluttony,390,65,90,50,85,45,55,Medium Slow,1,Grass,
90,71,Victreebel,1,Normal,1,Flycatcher Pokémon,2,Grass,Poison,1.7,15.5,2,Chlorophyll,,Gluttony,490,80,105,65,100,70,70,Medium Slow,1,Grass,
91,72,Tentacool,1,Normal,0,Jellyfish Pokémon,2,Water,Poison,0.9,45.5,3,Clear Body,Liquid Ooze,Rain Dish,335,40,40,35,50,100,70,Slow,1,Water 3,
92,73,Tentacruel,1,Normal,1,Jellyfish Pokémon,2,Water,Poison,1.6,55,3,Clear Body,Liquid Ooze,Rain Dish,515,80,70,65,80,120,100,Slow,1,Water 3,
93,74,Geodude,1,Normal,0,Rock Pokémon,2,Rock,Ground,0.4,20,3,Rock Head,Sturdy,Sand Veil,300,40,80,100,30,30,20,Medium Slow,1,Mineral,
94,74,Alolan Geodude,1,Normal,0,Rock Pokémon,2,Rock,Electric,0.4,20.3,3,Magnet Pull,Sturdy,Galvanize,300,40,80,100,30,30,20,Medium Slow,1,Mineral,
95,75,Graveler,1,Normal,0,Rock Pokémon,2,Rock,Ground,1,105,3,Rock Head,Sturdy,Sand Veil,390,55,95,115,45,45,35,Medium Slow,1,Mineral,
96,75,Alolan Graveler,1,Normal,0,Rock Pokémon,2,Rock,Electric,1,110,3,Magnet Pull,Sturdy,Galvanize,390,55,95,115,45,45,35,Medium Slow,1,Mineral,
97,76,Golem,1,Normal,1,Megaton Pokémon,2,Rock,Ground,1.4,300,3,Rock Head,Sturdy,Sand Veil,495,80,120,130,55,65,45,Medium Slow,1,Mineral,
98,76,Alolan Golem,1,Normal,1,Megaton Pokémon,2,Rock,Electric,1.7,316,3,Magnet Pull,Sturdy,Galvanize,495,80,120,130,55,65,45,Medium Slow,1,Mineral,
99,77,Ponyta,1,Normal,0,Fire Horse Pokémon,1,Fire,,1,30,3,Run Away,Flash Fire,Flame Body,410,50,85,55,65,65,90,Medium Fast,1,Field,
100,77,Galarian Ponyta,1,Normal,0,Unique Horn Pokémon,1,Psychic,,0.8,24,3,Run Away,Pastel Veil,Anticipation,410,50,85,55,65,65,90,Medium Fast,1,Field,
101,78,Rapidash,1,Normal,1,Fire Horse Pokémon,1,Fire,,1.7,95,3,Run Away,Flash Fire,Flame Body,500,65,100,70,80,80,105,Medium Fast,1,Field,
102,78,Galarian Rapidash,1,Normal,1,Unique Horn Pokémon,2,Psychic,Fairy,1.7,80,3,Run Away,Pastel Veil,Anticipation,500,65,100,70,80,80,105,Medium Fast,1,Field,
103,79,Slowpoke,1,Normal,0,Dopey Pokémon,2,Water,Psychic,1.2,36,3,Oblivious,Own Tempo,Regenerator,315,90,65,65,40,40,15,Medium Fast,2,Monster,Water 1
104,80,Slowbro,1,Normal,1,Hermit Crab Pokémon,2,Water,Psychic,1.6,78.5,3,Oblivious,Own Tempo,Regenerator,490,95,75,110,100,80,30,Medium Fast,2,Monster,Water 1
105,80,Mega Slowbro,1,Normal,1,Hermit Crab Pokémon,2,Water,Psychic,2,120,1,Shell Armor,,,590,95,75,180,130,80,30,Medium Fast,2,Monster,Water 1
106,81,Magnemite,1,Normal,0,Magnet Pokémon,2,Electric,Steel,0.3,6,3,Magnet Pull,Sturdy,Analytic,325,25,35,70,95,55,45,Medium Fast,1,Mineral,
107,82,Magneton,1,Normal,0,Magnet Pokémon,2,Electric,Steel,1,60,3,Magnet Pull,Sturdy,Analytic,465,50,60,95,120,70,70,Medium Fast,1,Mineral,
108,83,Farfetch'd,1,Normal,1,Wild Duck Pokémon,2,Normal,Flying,0.8,15,3,Keen Eye,Inner Focus,Defiant,377,52,90,55,58,62,60,Medium Fast,2,Field,Flying
109,83,Galarian Farfetch'd,1,Normal,0,Wild Duck Pokémon,1,Fighting,,0.8,42,2,Steadfast,,Scrappy,377,52,95,55,58,62,55,Medium Fast,2,Field,Flying
110,84,Doduo,1,Normal,0,Twin Bird Pokémon,2,Normal,Flying,1.4,39.2,3,Run Away,Early Bird,Tangled Feet,310,35,85,45,35,35,75,Medium Fast,1,Flying,
111,85,Dodrio,1,Normal,1,Triple Bird Pokémon,2,Normal,Flying,1.8,85.2,3,Run Away,Early Bird,Tangled Feet,470,60,110,70,60,60,110,Medium Fast,1,Flying,
112,86,Seel,1,Normal,0,Sea Lion Pokémon,1,Water,,1.1,90,3,Thick Fat,Hydration,Ice Body,325,65,45,55,45,70,45,Medium Fast,2,Field,Water 1
113,87,Dewgong,1,Normal,1,Sea Lion Pokémon,2,Water,Ice,1.7,120,3,Thick Fat,Hydration,Ice Body,475,90,70,80,70,95,70,Medium Fast,2,Field,Water 1
114,88,Grimer,1,Normal,0,Sludge Pokémon,1,Poison,,0.9,30,3,Stench,Sticky Hold,Poison Touch,325,80,80,50,40,50,25,Medium Fast,1,Amorphous,
115,88,Alolan Grimer,1,Normal,0,Sludge Pokémon,2,Poison,Dark,0.7,42,3,Poison Touch,Gluttony,Power of Alchemy,325,80,80,50,40,50,25,Medium Fast,1,Amorphous,
116,89,Muk,1,Normal,1,Sludge Pokémon,1,Poison,,1.2,30,3,Stench,Sticky Hold,Poison Touch,500,105,105,75,65,100,50,Medium Fast,1,Amorphous,
117,89,Alolan Muk,1,Normal,0,Sludge Pokémon,2,Poison,Dark,1,52,3,Poison Touch,Gluttony,Power of Alchemy,500,105,105,75,65,100,50,Medium Fast,1,Amorphous,
118,90,Shellder,1,Normal,0,Bivalve Pokémon,1,Water,,0.3,4,3,Shell Armor,Skill Link,Overcoat,305,30,65,100,45,25,40,Slow,1,Water 3,
119,91,Cloyster,1,Normal,1,Bivalve Pokémon,2,Water,Ice,1.5,132.5,3,Shell Armor,Skill Link,Overcoat,525,50,95,180,85,45,70,Slow,1,Water 3,
120,92,Gastly,1,Normal,0,Gas Pokémon,2,Ghost,Poison,1.3,0.1,1,Levitate,,,310,30,35,30,100,35,80,Medium Slow,1,Amorphous,
121,93,Haunter,1,Normal,0,Gas Pokémon,2,Ghost,Poison,1.6,0.1,1,Levitate,,,405,45,50,45,115,55,95,Medium Slow,1,Amorphous,
122,94,Gengar,1,Normal,1,Shadow Pokémon,2,Ghost,Poison,1.5,40.5,1,Cursed Body,,,500,60,65,60,130,75,110,Medium Slow,1,Amorphous,
123,94,Mega Gengar,1,Normal,1,Shadow Pokémon,2,Ghost,Poison,1.4,40.5,1,Shadow Tag,,,600,60,65,80,170,95,130,Medium Slow,1,Amorphous,
124,95,Onix,1,Normal,0,Rock Snake Pokémon,2,Rock,Ground,8.8,210,3,Rock Head,Sturdy,Weak Armor,385,35,45,160,30,45,70,Medium Fast,1,Mineral,
125,96,Drowzee,1,Normal,0,Hypnosis Pokémon,1,Psychic,,1,32.4,3,Insomnia,Forewarn,Inner Focus,328,60,48,45,43,90,42,Medium Fast,1,Human-Like,
126,97,Hypno,1,Normal,1,Hypnosis Pokémon,1,Psychic,,1.6,75.6,3,Insomnia,Forewarn,Inner Focus,483,85,73,70,73,115,67,Medium Fast,1,Human-Like,
127,98,Krabby,1,Normal,0,River Crab Pokémon,1,Water,,0.4,6.5,3,Hyper Cutter,Shell Armor,Sheer Force,325,30,105,90,25,25,50,Medium Fast,1,Water 3,
128,99,Kingler,1,Normal,1,Pincer Pokémon,1,Water,,1.3,60,3,Hyper Cutter,Shell Armor,Sheer Force,475,55,130,115,50,50,75,Medium Fast,1,Water 3,
129,100,Voltorb,1,Normal,0,Ball Pokémon,1,Electric,,0.5,10.4,3,Soundproof,Static,Aftermath,330,40,30,50,55,55,100,Medium Fast,1,Mineral,
130,101,Electrode,1,Normal,1,Ball Pokémon,1,Electric,,1.2,66.6,3,Soundproof,Static,Aftermath,490,60,50,70,80,80,150,Medium Fast,1,Mineral,
131,102,Exeggcute,1,Normal,0,Egg Pokémon,2,Grass,Psychic,0.4,2.5,2,Chlorophyll,,Harvest,325,60,40,80,60,45,40,Slow,1,Grass,
132,103,Exeggutor,1,Normal,1,Coconut Pokémon,2,Grass,Psychic,2,120,2,Chlorophyll,,Harvest,530,95,95,85,125,75,55,Slow,1,Grass,
133,103,Alolan Exeggutor,1,Normal,1,Coconut Pokémon,2,Grass,Dragon,10.9,415.6,2,Frisk,,Harvest,530,95,105,85,125,75,45,Slow,1,Grass,
134,104,Cubone,1,Normal,0,Lonely Pokémon,1,Ground,,0.4,6.5,3,Rock Head,Lightning Rod,Battle Armor,320,50,50,95,40,50,35,Medium Fast,1,Monster,
135,105,Marowak,1,Normal,1,Bone Keeper Pokémon,1,Ground,,1,45,3,Rock Head,Lightning Rod,Battle Armor,425,60,80,110,50,80,45,Medium Fast,1,Monster,
136,105,Alolan Marowak,1,Normal,1,Bone Keeper Pokémon,2,Fire,Ghost,1,34,3,Cursed Body,Lightning Rod,Rock Head,425,60,80,110,50,80,45,Medium Fast,1,Monster,
137,106,Hitmonlee,1,Normal,1,Kicking Pokémon,1,Fighting,,1.5,49.8,3,Limber,Reckless,Unburden,455,50,120,53,35,110,87,Medium Fast,1,Human-Like,
138,107,Hitmonchan,1,Normal,1,Punching Pokémon,1,Fighting,,1.4,50.2,3,Keen Eye,Iron Fist,Inner Focus,455,50,105,79,35,110,76,Medium Fast,1,Human-Like,
139,108,Lickitung,1,Normal,0,Licking Pokémon,1,Normal,,1.2,65.5,3,Own Tempo,Oblivious,Cloud Nine,385,90,55,75,60,75,30,Medium Fast,1,Monster,
140,109,Koffing,1,Normal,0,Poison Gas Pokémon,1,Poison,,0.6,1,3,Levitate,Neutralizing Gas,Stench,340,40,65,95,60,45,35,Medium Fast,1,Amorphous,
141,110,Weezing,1,Normal,1,Poison Gas Pokémon,1,Poison,,1.2,9.5,3,Levitate,Neutralizing Gas,Stench,490,65,90,120,85,70,60,Medium Fast,1,Amorphous,
142,110,Galarian Weezing,1,Normal,1,Poison Gas Pokémon,2,Poison,Fairy,3,16,3,Levitate,Neutralizing Gas,Misty Surge,490,65,90,120,85,70,60,Medium Fast,1,Amorphous,
143,111,Rhyhorn,1,Normal,0,Spikes Pokémon,2,Ground,Rock,1,115,3,Lightning Rod,Rock Head,Reckless,345,80,85,95,30,30,25,Slow,2,Field,Monster
144,112,Rhydon,1,Normal,0,Drill Pokémon,2,Ground,Rock,1.9,120,3,Lightning Rod,Rock Head,Reckless,485,105,130,120,45,45,40,Slow,2,Field,Monster
145,113,Chansey,1,Normal,0,Egg Pokémon,1,Normal,,1.1,34.6,3,Natural Cure,Serene Grace,Healer,450,250,5,5,35,105,50,Fast,1,Fairy,
146,114,Tangela,1,Normal,0,Vine Pokémon,1,Grass,,1,35,3,Chlorophyll,Leaf Guard,Regenerator,435,65,55,115,100,40,60,Medium Fast,1,Grass,
147,115,Kangaskhan,1,Normal,1,Parent Pokémon,1,Normal,,2.2,80,3,Early Bird,Scrappy,Inner Focus,490,105,95,80,40,80,90,Medium Fast,1,Monster,
148,115,Mega Kangaskhan,1,Normal,1,Parent Pokémon,1,Normal,,2.2,100,1,Parental Bond,,,590,105,125,100,60,100,100,Medium Fast,1,Monster,
149,116,Horsea,1,Normal,1,Dragon Pokémon,1,Water,,0.4,8,3,Swift Swim,Sniper,Damp,295,30,40,70,70,25,60,Medium Fast,2,Dragon,Water 1
150,117,Seadra,1,Normal,0,Dragon Pokémon,1,Water,,1.2,25,3,Poison Point,Sniper,Damp,440,55,65,95,95,45,85,Medium Fast,2,Dragon,Water 1
